"business_id","address","categories","coordinates","insertedAtTimestamp","name","number_of_reviews","rating","zip_code"
"kSFcVO3fIsC6qCkPdkIioA","15 Cleveland St","Brazilian","{""latitude"":{""N"":""40.782471075654""},""longitude"":{""N"":""-74.1533696651459""}}","2021-10-12 16:10:06","Solar Do Minho","4","4","07109"
"T9ER8PLH85H-nUQKGHn1tg","97 Lang St","Brazilian","{""latitude"":{""N"":""40.7250818610191""},""longitude"":{""N"":""-74.1535855829716""}}","2021-10-12 16:10:22","Xcape Cafe","3.5","3.5","07105"
"hWmzrNyhPO3phBstCynSvw","108-01 Northern Blvd","Brazilian","{""latitude"":{""N"":""40.75824""},""longitude"":{""N"":""-73.86068""}}","2021-10-12 16:09:58","Rainhas Churrascaria","4","4","11368"
"Wm-_1oKOrxWH_U0YPafKJA","605 Ridge Rd","Brazilian","{""latitude"":{""N"":""40.7982307314552""},""longitude"":{""N"":""-74.1264184936881""}}","2021-10-12 16:10:15","Fire Pit Barbeque","3.5","3.5","07031"
"Ucya5uGBVUA3azs-HX0sTA","597 10th Ave","Brazilian","{""latitude"":{""N"":""40.7606""},""longitude"":{""N"":""-73.995""}}","2021-10-12 16:10:06","West Side Steakhouse","4","4","10036"
"XJofZdWC-oRQSDZD0sJGnA","77 Jefferson St","Brazilian","{""latitude"":{""N"":""40.730542""},""longitude"":{""N"":""-74.161155""}}","2021-10-12 16:10:05","Sabor Unido","4.5","4.5","07105"
"OwV-MtDBC2H08rVcBqP2mA","604 10th Ave","Brazilian","{""latitude"":{""N"":""40.760506289326""},""longitude"":{""N"":""-73.994564488901""}}","2021-10-12 16:09:59","Pio Pio 8","4","4","10036"
"7zjeUx9aWRGpJmiOuk45zw","333 Washington St","Brazilian","{""latitude"":{""N"":""40.74099""},""longitude"":{""N"":""-74.02945""}}","2021-10-12 16:10:10","The Cuban Restaurant and Bar","4","4","07030"
"njpz2-Vd-EnoFu5YiIBTVA","207 W 36th St","Brazilian","{""latitude"":{""N"":""40.752533""},""longitude"":{""N"":""-73.9899368""}}","2021-10-12 16:10:11","DK Restaurant NYC","3.5","3.5","10018"
"Uut2fBy53XdIgx1rLWdQeg","95 Allen St","Brazilian","{""latitude"":{""N"":""40.71873""},""longitude"":{""N"":""-73.9909""}}","2021-10-12 16:10:10","Empanada Mama L.E.S","4","4","10002"
"U2eO8yFSc9YTf_SPnog8cw","61 New St","Brazilian","{""latitude"":{""N"":""40.7407808""},""longitude"":{""N"":""-74.172243""}}","2021-10-12 16:10:22","La Cocina","4.5","4.5","07102"
"yFNFfeRh0MkGeLGZRTsdWg","70 Adams St","Brazilian","{""latitude"":{""N"":""40.729904""},""longitude"":{""N"":""-74.1579081""}}","2021-10-12 16:10:15","Churrascaria Boi Na Brasa","3.5","3.5","07105"
