"business_id","address","categories","coordinates","insertedAtTimestamp","name","number_of_reviews","rating","zip_code"
"mosd9Voq5Ws6k6Uduii_ww","1900 Broadway","French","{""latitude"":{""N"":""40.7718443592464""},""longitude"":{""N"":""-73.9818808860381""}}","2021-10-12 15:12:24","Bar Boulud","3.5","3.5","10023"
"bTyyPU8A4pz9dieLSZPMdA","340 W 46th St","French","{""latitude"":{""N"":""40.76023""},""longitude"":{""N"":""-73.98957""}}","2021-10-12 15:08:59","Le Rivage","4","4","10036"
"FiRB9Ek3Xo9JHwXgBYITYg","558 Broome St","French","{""latitude"":{""N"":""40.7243642217227""},""longitude"":{""N"":""-74.005708694458""}}","2021-10-12 15:08:50","La Sirène-Soho","4.5","4.5","10013"
"xTnivXEdEtXrnhp-z4JGvg","9 Maiden Ln","French","{""latitude"":{""N"":""40.70961""},""longitude"":{""N"":""-74.0093799""}}","2021-10-12 15:11:30","La Parisienne","4.5","4.5","10038"
"3gtheZvv3Or0YzWXIl3SJg","60 W 55th St","French","{""latitude"":{""N"":""40.7625640535871""},""longitude"":{""N"":""-73.9772810679851""}}","2021-10-12 15:08:57","Benoit","3.5","3.5","10019"
"BA6wd1pZTVu1DmrtiyTs8g","180 Prince St","French","{""latitude"":{""N"":""40.72615""},""longitude"":{""N"":""-74.00216""}}","2021-10-12 15:11:30","Raoul's Restaurant","4","4","10012"
"dAHoDxBmzWqfobnTbCHaQA","241 W Broadway","French","{""latitude"":{""N"":""40.71964""},""longitude"":{""N"":""-74.00578""}}","2021-10-12 15:12:24","Frenchette","3.5","3.5","10013"
"bqhBU_iyHpaLlq0WSc5Nkw","1343 2nd Ave","French","{""latitude"":{""N"":""40.7680053710938""},""longitude"":{""N"":""-73.9592895507812""}}","2021-10-12 15:11:24","Jean Claude 2","4","4","10021"
"wpye6v-2fIx7Z2Sz12XubA","200 Lenox Ave","French","{""latitude"":{""N"":""40.8045311""},""longitude"":{""N"":""-73.9473801""}}","2021-10-12 15:14:26","Barawine","3.5","3.5","10027"
"7flJeg5Tnc06cQQ7jnBtxg","211 E 46th St","French","{""latitude"":{""N"":""40.75314""},""longitude"":{""N"":""-73.97179""}}","2021-10-12 15:08:56","Barnea Bistro","4.5","4.5","10017"
"7m4GnzK5pv7qGn-Ar1zabQ","1B West 8th St","French","{""latitude"":{""N"":""40.732552""},""longitude"":{""N"":""-73.996704""}}","2021-10-12 15:13:30","Lena","4.5","4.5","10011"
"t2h_VDI6kw7c1uHvyV-Grw","136 2nd Ave","French","{""latitude"":{""N"":""40.7286485""},""longitude"":{""N"":""-73.98720783""}}","2021-10-12 15:12:23","Brasserie Saint Marc","4","4","10003"
"gISZs8okQgFIpd-yz9aC4w","1010 50th Ave","French","{""latitude"":{""N"":""40.742559""},""longitude"":{""N"":""-73.953697""}}","2021-10-12 15:11:30","Café Henri","4","4","11101"
"a8D87UlkkR3HixryrAay9w","233-235 Front St","French","{""latitude"":{""N"":""40.70757""},""longitude"":{""N"":""-74.00184""}}","2021-10-12 15:13:29","Coco Bistro","4.5","4.5","10038"
"dS2VNgvdLCAxImvcVBV6wA","22 E 54th St","French","{""latitude"":{""N"":""40.760463700357""},""longitude"":{""N"":""-73.9742553564245""}}","2021-10-12 15:11:31","Papillon Bistro & Bar","3.5","3.5","10022"
"VpEy7E9fij06n7BRrzvEaw","80 Wythe Ave","French","{""latitude"":{""N"":""40.72191""},""longitude"":{""N"":""-73.957873""}}","2021-10-12 15:08:51","Le Crocodile","4.5","4.5","11249"
"lu0XMmcPyFGvIgqRcbU_4g","610 Lexington Ave","French","{""latitude"":{""N"":""40.7582033""},""longitude"":{""N"":""-73.9713074""}}","2021-10-12 15:11:23","Le Jardinier","4","4","10022"
"iexl39DYyy_76Xq3ExaJkQ","96 Orchard St","French","{""latitude"":{""N"":""40.71844""},""longitude"":{""N"":""-73.98981""}}","2021-10-12 15:08:59","Excuse My French","4.5","4.5","10002"
"CsZLG1VpdFAZiT_qRRmJ2A","1140 Broadway","French","{""latitude"":{""N"":""40.743927""},""longitude"":{""N"":""-73.9887""}}","2021-10-12 15:11:23","Vin Sur Vingt","4","4","10001"
"'-vBfKWJ1v9YdJQT5XUbcBQ","833 Lexington Ave","French","{""latitude"":{""N"":""40.7649986274526""},""longitude"":{""N"":""-73.9659830279587""}}","2021-10-12 15:11:24","Le Botaniste","4.5","4.5","10065"
"6S62Z7e0UP82shutXERUzA","2723 Broadway","French","{""latitude"":{""N"":""40.8000739""},""longitude"":{""N"":""-73.9682123""}}","2021-10-12 15:11:23","Cafe Du Soleil","3.5","3.5","10025"
"KgpOYAG-r_eDsQXFXt0nnQ","80 Spring St","French","{""latitude"":{""N"":""40.7226892950401""},""longitude"":{""N"":""-73.9982149184027""}}","2021-10-12 15:08:51","Balthazar","4","4","10012"
"aTFkjo0scqmOgsFF5kuGXg","24 5th Ave","French","{""latitude"":{""N"":""40.7331""},""longitude"":{""N"":""-73.99596""}}","2021-10-12 15:08:57","Claudette","4","4","10011"
"xN7JOFf3nBBDxvZ1M4Slbg","1300 Park Ave","French","{""latitude"":{""N"":""40.7529899""},""longitude"":{""N"":""-74.02924""}}","2021-10-12 15:12:23","Barbès Restaurant","4","4","07030"
"'-qxQDGZc8Ejz7MUFlFWyuQ","134 Broadway","French","{""latitude"":{""N"":""40.71002578663716""},""longitude"":{""N"":""-73.96405744314846""}}","2021-10-12 15:08:57","Francie","4.5","4.5","11249"
"K_RLEEEkMmlis5hteYlYUQ","28 E 63rd St","French","{""latitude"":{""N"":""40.7657132""},""longitude"":{""N"":""-73.9692137""}}","2021-10-12 15:13:37","Majorelle","4","4","10065"
"vRrVSB-LegwUwIxpkeRVtQ","155 W 51st St","French","{""latitude"":{""N"":""40.761557""},""longitude"":{""N"":""-73.981763""}}","2021-10-12 15:08:57","Le Bernardin","4.5","4.5","10019"
"7uGPAk8ELYABSzZhXhj7tA","18 Cornelia St","French","{""latitude"":{""N"":""40.7314099""},""longitude"":{""N"":""-74.00197""}}","2021-10-12 15:12:24","Le Gigot","4","4","10014"
"59dXrRQE3JVItSneV3a1bg","129 E 60th St","French","{""latitude"":{""N"":""40.76316""},""longitude"":{""N"":""-73.96814""}}","2021-10-12 15:13:29","Le Veau D'or","3.5","3.5","10022"
"26M6nFVuA4bvhU0TBZOuLg","300 E 52nd St","French","{""latitude"":{""N"":""40.7558717456695""},""longitude"":{""N"":""-73.9673550550069""}}","2021-10-12 15:09:01","Pierre Loti Midtown","4.5","4.5","10022"
"OppTOs3uBwOG29yF45lb8A","218 Bowery","French","{""latitude"":{""N"":""40.7219571708362""},""longitude"":{""N"":""-73.9937923103571""}}","2021-10-12 15:13:30","Mister French","4","4","10012"
"MbLH5wjrqEJAid5woCAh5g","160 7th Ave","French","{""latitude"":{""N"":""40.742311""},""longitude"":{""N"":""-73.997587""}}","2021-10-12 15:12:24","Le Singe","3.5","3.5","10011"
