"business_id","address","categories","coordinates","insertedAtTimestamp","name","number_of_reviews","rating","zip_code"
"F2KRHRtnIAZJezs9UC2u6w","209 8th Ave","Chinese","{""latitude"":{""N"":""40.74401""},""longitude"":{""N"":""-73.999824""}}","2021-10-12 14:25:59","Chelsea Golden Wok","3","3","10011"
"MhceeLrM2_3mcKw5EGLY6A","766 9th Ave","Chinese","{""latitude"":{""N"":""40.764291""},""longitude"":{""N"":""-73.988159""}}","2021-10-12 14:25:59","Pure Thai Cookhouse","4","4","10019"
"'-2FAuHbWsc_rxuSaeYAhCw","216 Grand St","Chinese","{""latitude"":{""N"":""40.7190136""},""longitude"":{""N"":""-73.9959638""}}","2021-10-12 14:26:55","Green Garden Village","4.5","4.5","10013"
"v2dtG37r1ThqtfEfiFsAUg","30 W 32nd St","Chinese","{""latitude"":{""N"":""40.7476119995117""},""longitude"":{""N"":""-73.9871597290039""}}","2021-10-12 14:25:57","Shanghai Mong","3","3","10001"
"w3wKbjuNCZnYoPOr-FCk5w","547 2nd Ave","Chinese","{""latitude"":{""N"":""40.742569""},""longitude"":{""N"":""-73.977856""}}","2021-10-12 14:17:42","New Moon","4","4","10016"
"GIHPA9UylksLNx-5jQVVVA","197 7th Ave","Chinese","{""latitude"":{""N"":""40.74304""},""longitude"":{""N"":""-73.99619""}}","2021-10-12 14:17:44","Season Taste","5","5","10011"
"wqdFd3DZD_uTXRW784mFkg","963 Grand St","Chinese","{""latitude"":{""N"":""40.71326""},""longitude"":{""N"":""-73.93616""}}","2021-10-12 14:17:43","A-Pou's Taste","4.5","4.5","11211"
"NIGYFezOj_F_M5GskaN-2Q","342 7th Ave","Chinese","{""latitude"":{""N"":""40.74811""},""longitude"":{""N"":""-73.99306""}}","2021-10-12 14:26:06","Tipsy Shanghai","4","4","10001"
"0CjK3esfpFcxIopebzjFxA","46 Bowery St","Chinese","{""latitude"":{""N"":""40.7156608""},""longitude"":{""N"":""-73.9967012""}}","2021-10-12 14:15:54","Joe's Shanghai","4","4","10013"
"RYoc4EBUNOtgbg7c32OG9A","43 E 28th St","Chinese","{""latitude"":{""N"":""40.74364""},""longitude"":{""N"":""-73.98456""}}","2021-10-12 14:26:57","Atoboy","4.5","4.5","10016"
"Qwd4Tv-CqgO2Yl9zZgkKOQ","155 E 55th St","Chinese","{""latitude"":{""N"":""40.75945""},""longitude"":{""N"":""-73.96907""}}","2021-10-12 14:15:56","Shun Lee Palace","3","3","10022"
"U5dCWjAxrvLLMH1ErpGfvw","1817 2nd Ave","Chinese","{""latitude"":{""N"":""40.783159""},""longitude"":{""N"":""-73.948244""}}","2021-10-12 14:25:57","A-jiao","3.5","3.5","10128"
"R7EGjHWw0tNheY6-ahH8fQ","536 E 5th St","Chinese","{""latitude"":{""N"":""40.72412482724""},""longitude"":{""N"":""-73.9828906263924""}}","2021-10-12 14:17:45","Tuome","4.5","4.5","10009"
"C3tP0fNNAoxOAC3O406CXQ","651 9th Ave","Chinese","{""latitude"":{""N"":""40.76072""},""longitude"":{""N"":""-73.99119""}}","2021-10-12 14:16:04","Le Sia","4.5","4.5","10036"
